aId         ; aId2        ; name
A5041048447 ; A5097885275 ; Mojca Bavdaž
            ; A5004070186 ;
A5067115712 ; A5111894629 ; Yuri A. Bahturin
A5001676164 ; A5055650417 ; Vladimir Batagelj
A5080033841 ; A5064998619 ; Zdenko Breška
A5059184279 ; A5110723267 ; Jaka Cimprič
            ; A5051487391 ;
A5045469520 ; A5024566239 ; Mirko Dobovišek
A5065490876 ; A5110460780 ; Patrick Doreian
A5086926596 ; A5013831967 ; Tanja Fajfar
A5029499420 ; A5044052548 ; Anuška Ferligoj
A5012442974 ; A5103264324 ; Iztok Fister
A5007749653 ; A5005624387 ; Josip Globevnik
            ; A5041509958 ;
            ; A5058354608 ;
A5032235203 ; A5062933442 ; Darja Govekar-Leban
            ; A5012743540 ;
A5086458138 ; A5111945795 ; Anita Jemec Kokalj
A5005238560 ; A5057745741 ; Borka Jerman-Blažič
            ; A5033485942 ;
A5103193233 ; A5111490342 ; Marjeta Knez/Krajnc
A5009609700 ; A5110754501 ; Tomaž Košir
A5038286229 ; A5067135173 ; Ivan Kuščer
A5112652873 ; A5111663976 ; Boris Lavrič
A5103607762 ; A5103247983 ; H. B. F. Nielsen
A5112805904 ; A5111503000 ; Jadran Lenarčič
A5076766961 ; A5016614245 ; Norma Mankoč Borštnik
            ; A5061827826 ;
A5054934738 ; A5050116618 ; L. Marek Crnjac
A5059638892 ; A5108129703 ; Štefko Miklavič
A5005993212 ; A5108261926 ; Bojan Mohar
A5006769349 ; A5032628296 ; Neža Mramor Kosta
            ; A5098375249 ;
            ; A5074825314 ;
A5090768352 ; A5059383361 ; Νικόλαος Παπαγεωργίου
A5009207700 ; A5105989689 ; Tomaž Pisanski
A5053689990 ; A5007473069 ; Josip Plemelj
            ; A5037884930 ;
A5103154620 ; A5071171883 ; Primož Potočnik
            ; A5069450947 ;
A5037166305 ; A5108080717 ; Saša Prelovšek / Prelovsek
A5031333422 ; A5105507021 ; Dušan Repovš
            ; A5053561630 ;
A5007677819 ; A5085821744 ; Marjeta Škapin‐Rugelj
            ; A5031127740 ;
            ; A5027576317 ;
A5041179289 ; A5017966607 ; Janez Štalec
            ; A5011335739 ;
            ; A5082614873 ;
            ; A5046034540 ;
            ; A5047172895 ;
A5007084073 ; A5053063588 ; Brandon C. Welsh
A5111732175 ; A5111508283 ; Blaž Zmazek
A5073247427 ; A5097448508 ; Rihard Zupančič
            ; A5098346556 ;
A5034807634 ; A5042910549 ; B. Žekš
A5089379545 ; A5103990553 ; Janez Žerovnik
A5073787663 ; A5103171055 ; Aleš Holobar
A5056118908 ; A5103059277 ; Sonja Pečjak
A5019455125 ; A5102827805 ; A. Ažman
A5103281644 ; A5091313468 ; Marija Bogataj
A5023503847 ; A5102171721 ; Samaneh Soltani
A5017611853 ; A5048399111 ; Randy Davila
            ; A5102816001 ;
A5036935012 ; A5101649926 ; Maja Rožman
